Price,Area,Location,city
3500000,690,Dronagiri,Mumbai
5200000,1070,Dronagiri,Mumbai
5800000,540,Ulwe,Mumbai
6200000,1135,Ulwe,Mumbai
27500000,3000,Sector-3 Ulwe,Mumbai
15500000,1500,Sector-3 Ulwe,Mumbai
13799999,1440,Sector-3 Ulwe,Mumbai
3400000,704,Dronagiri,Mumbai
3500000,688,Dronagiri,Mumbai
5200000,667,Sector 17 Ulwe,Mumbai
2400000,625,Dronagiri,Mumbai
4900000,650,Sector 23 Ulwe,Mumbai
4500000,610,Ulwe,Mumbai
14500000,1560,Ulwe,Mumbai
8200000,1150,Sector 17 Ulwe,Mumbai
29500000,2130,Nerul,Mumbai
4900000,665,Sector 17 Ulwe,Mumbai
5000000,1155,Dronagiri,Mumbai
5300000,1120,Dronagiri,Mumbai
7000000,1000,Sector 17 Ulwe,Mumbai
3588000,690,Sector 23 Ulwe,Mumbai
3800000,655,Sector 17 Ulwe,Mumbai
3500000,655,Sector 17 Ulwe,Mumbai
3700000,650,ULWE SECTOR 19,Mumbai
8500000,1220,Ulwe,Mumbai
4900000,700,Ulwe,Mumbai
5400000,547,Ghodbunder Road,Mumbai
60100000,1435,Juhu,Mumbai
3000000,650,Dronagiri,Mumbai
3650000,665,Dronagiri,Mumbai
4200000,690,Dronagiri,Mumbai
3001000,675,Dronagiri,Mumbai
6800000,1250,Panvel,Mumbai
3300000,625,Karanjade,Mumbai
2850000,530,Karanjade,Mumbai
2100000,395,Karanjade,Mumbai
6300000,1090,Karanjade,Mumbai
6400000,1010,Karanjade,Mumbai
6000000,1010,Karanjade,Mumbai
5400000,547,Ghodbunder Road,Mumbai
60100000,1435,Juhu,Mumbai
3000000,650,Dronagiri,Mumbai
3650000,665,Dronagiri,Mumbai
4200000,690,Dronagiri,Mumbai
3001000,675,Dronagiri,Mumbai
7200000,952,Sector 21 Ulwe,Mumbai
6100000,1150,Dronagiri,Mumbai
4000000,568,Bhiwandi,Mumbai
7500000,1107,Vasai,Mumbai
2580000,605,Nala Sopara,Mumbai
3594000,850,Nala Sopara,Mumbai
5760000,778,Vasai,Mumbai
6952000,802,Bhiwandi,Mumbai
2451000,570,Nala Sopara,Mumbai
6137000,829,Bhiwandi,Mumbai
5600000,710,Mira Road East,Mumbai
8600000,1227,Bhiwandi,Mumbai
8100000,1108,Bhiwandi,Mumbai
8100000,1032,Bhiwandi,Mumbai
7500000,985,Bhiwandi,Mumbai
6800000,880,Bhiwandi,Mumbai
6200000,829,Bhiwandi,Mumbai
5600000,802,Bhiwandi,Mumbai
6000000,709,Nala Sopara,Mumbai
4100000,534,Nala Sopara,Mumbai
4800000,965,Nala Sopara,Mumbai
3700000,730,Nala Sopara,Mumbai
4600000,930,Vasai,Mumbai
3350000,650,Vasai,Mumbai
85000000,2350,Dadar East,Mumbai
6500000,650,Dahisar,Mumbai
18000000,1462,Ghatkopar,Mumbai
8500000,676,Ghatkopar,Mumbai
